[Strings]
Num Paddr      Vaddr      Len Size Section  Type  String
000 0x00003260 0x140004460  50 102 (.rdata) utf16le SYSTEM\CurrentControlSet\Services\Tcpip\Parameters
001 0x000032c8 0x1400044c8  10  22 (.rdata) utf16le DefaultTTL
002 0x000032e0 0x1400044e0   4  10 (.rdata) utf16le IPv4
003 0x000032f0 0x1400044f0   4  10 (.rdata) utf16le IPv6
004 0x00003300 0x140004500  14  30 (.rdata) utf16le OutputEncoding
005 0x00003320 0x140004520   7  16 (.rdata) utf16le Unicode
006 0x00003330 0x140004530   4  10 (.rdata) utf16le Ansi
007 0x00003340 0x140004540   4  10 (.rdata) utf16le UTF8
008 0x00003350 0x140004550   5  12 (.rdata) utf16le UTF-8
009 0x000033c4 0x1400045c4   4   5 (.rdata) ascii RSDS
010 0x000033dc 0x1400045dc   8   9 (.rdata) ascii ping.pdb
011 0x000033e8 0x1400045e8   4   5 (.rdata) ascii GCTL
012 0x000033f4 0x1400045f4   8   9 (.rdata) ascii .text$mn
013 0x00003408 0x140004608  11  12 (.rdata) ascii .text$mn$00
014 0x0000341c 0x14000461c   7   8 (.rdata) ascii .text$x
015 0x0000342c 0x14000462c  10  11 (.rdata) ascii .rdata$brc
016 0x00003440 0x140004640   8   9 (.rdata) ascii .idata$5
017 0x00003454 0x140004654   6   7 (.rdata) ascii .00cfg
018 0x00003464 0x140004664   8   9 (.rdata) ascii .CRT$XCA
019 0x00003478 0x140004678   9  10 (.rdata) ascii .CRT$XCAA
020 0x0000348c 0x14000468c   8   9 (.rdata) ascii .CRT$XCZ
021 0x000034a0 0x1400046a0   8   9 (.rdata) ascii .CRT$XIA
022 0x000034b4 0x1400046b4   9  10 (.rdata) ascii .CRT$XIAA
023 0x000034c8 0x1400046c8   8   9 (.rdata) ascii .CRT$XIY
024 0x000034dc 0x1400046dc   8   9 (.rdata) ascii .CRT$XIZ
025 0x000034f0 0x1400046f0   6   7 (.rdata) ascii .gfids
026 0x00003500 0x140004700   6   7 (.rdata) ascii .rdata
027 0x00003510 0x140004710  13  14 (.rdata) ascii .rdata$zzzdbg
